Name,Cabinet,Year of taking office,Position 1,Position 2,Position 3,Position 4,Gender,Birth year,Age at January 1st,Party
Baron Willem van Heeckeren van Kell,Kappeyne van de Coppello,1877,Minister of Foreign Affairs,,,,Male,1815,62,Independent Liberal (Classical Liberal)
Hendrik Jan Smidt,Kappeyne van de Coppello,1877,Minister of Justice,,,,Male,1831,46,Independent Liberal (Conservative Liberal)
Jan Kappeyne van de Coppello,Kappeyne van de Coppello,1877,Prime Minister of nan,Minister of Interior,,,Male,1822,55,Independent Liberal (Classical Liberal)
Johan Gleichman,Kappeyne van de Coppello,1877,Minister of Finance,,,,Male,1834,43,Independent Liberal (Conservative Liberal)
Johannes Tak van Poortvliet,Kappeyne van de Coppello,1877,"Minister of Water Management, Commerce and Industry",,,,Male,1839,38,Independent Liberal (Classical Liberal)
Jonkheer Captain Hendrikus Wichers,Kappeyne van de Coppello,1877,Minister of War,Minister of Navy,Minister of Colonial Affairs,,Male,1831,46,Independent Liberal (Classical Liberal)
Major Jan Karel de Roo van Alderwerelt,Kappeyne van de Coppello,1877,Minister of War,,,,Male,1832,45,Independent Liberal (Classical Liberal)
Major general Jacobus den Beer Poortugael,Kappeyne van de Coppello,1877,Minister of War,,,,Male,1832,45,Independent Liberal (Classical Liberal)
Otto van Rees,Kappeyne van de Coppello,1877,Minister of Colonial Affairs,,,,Male,1823,54,Independent Liberal (Conservative Liberal)
Pieter Philip van Bosse,Kappeyne van de Coppello,1877,Minister of Colonial Affairs,,,,Male,1809,68,Independent Liberal (Classical Liberal)
Baron Willem van Goltstein van Oldenaller,Van Lynden van Sandenburg,1879,Minister of Colonial Affairs,,,,Male,1831,48,Independent Conservative (Liberal Conservative)
Cornelis Pijnacker Hordijk,Van Lynden van Sandenburg,1879,Minister of Interior,,,,Male,1847,32,Independent Liberal (Conservative Liberal)
Count Theo van Lynden van Sandenburg,Van Lynden van Sandenburg,1879,Prime Minister of nan,Minister of Foreign Affairs,Minister of Finance,,Male,1818,61,Independent Christian Democrat (Protestant)
Dr. Anthony Modderman,Van Lynden van Sandenburg,1879,Minister of Justice,,,,Male,1838,41,Independent Liberal (Classical Liberal)
Dr. Simon Vissering,Van Lynden van Sandenburg,1879,Minister of Finance,,,,Male,1818,61,Independent Liberal (Conservative Liberal)
Jonkheer Guillaume Klerck,Van Lynden van Sandenburg,1879,"Minister of Water Management, Commerce and Industry",,,,Male,1825,54,Independent Liberal (Conservative Liberal)
Jonkheer Willem Frederik Rochussen,Van Lynden van Sandenburg,1879,Minister of Foreign Affairs,,,,Male,1832,47,Independent Conservative (Liberal Conservative)
