Cabinet,Prime Minister,Term of office,Political position,Link
Kappeyne van de Coppello,Jan Kappeyne van de Coppello,3 November 1877,Centre-right,/wiki/Kappeyne_van_de_Coppello_cabinet
Van Lynden van Sandenburg,Theo van Lynden van Sandenburg,20 August 1879,Right-wing,/wiki/Van_Lynden_van_Sandenburg_cabinet
J. Heemskerk,Jan Heemskerk,23 April 1883,Right-wing,/wiki/Jan_Heemskerk_cabinet
Mackay,Aeneas Mackay,21 April 1888,Centre-right,/wiki/Mackay_cabinet
Van Tienhoven,Gijsbert van Tienhoven,21 August 1891,Right-wing,/wiki/Van_Tienhoven_cabinet
Röell,Joan Röell,9 May 1894,Right-wing,/wiki/R%C3%B6ell_cabinet
Pierson,Nicolaas Pierson,27 July 1897,Centre-right,/wiki/Pierson_cabinet
Kuyper,Abraham Kuyper,1 August 1901,Centre-right,/wiki/Kuyper_cabinet
De Meester,Theo de Meester,17 August 1905,Centre-right,/wiki/De_Meester_cabinet
T. Heemskerk,Theo Heemskerk,12 February 1908,Centre-right,/wiki/Theo_Heemskerk_cabinet
Cort van der Linden,Pieter Cort van der Linden,29 August 1913,Centre,/wiki/Cort_van_der_Linden_cabinet
Ruijs de Beerenbrouck I,Charles Ruijs de Beerenbrouck,9 September 1918,Centre-right,/wiki/First_Ruijs_de_Beerenbrouck_cabinet
Ruijs de Beerenbrouck II,Charles Ruijs de Beerenbrouck,18 September 1922,Centre-right,/wiki/Second_Ruijs_de_Beerenbrouck_cabinet
Colijn I,Hendrikus Colijn,4 August 1925,Centre-right,/wiki/First_Colijn_cabinet
De Geer I,Dirk Jan de Geer,8 March 1926,Centre-right,/wiki/First_De_Geer_cabinet
Ruijs de Beerenbrouck III,Charles Ruijs de Beerenbrouck,10 August 1929,Centre-right,/wiki/Third_Ruijs_de_Beerenbrouck_cabinet
Colijn II,Hendrikus Colijn,26 May 1933,Centre-right,/wiki/Second_Colijn_cabinet
Colijn III,Hendrikus Colijn,31 July 1935,Centre-right,/wiki/Third_Colijn_cabinet
Colijn IV,Hendrikus Colijn,24 June 1937,Centre-right,/wiki/Fourth_Colijn_cabinet
Colijn V,Hendrikus Colijn,25 July 1939,Right-wing,/wiki/Fifth_Colijn_cabinet
De Geer II,Dirk Jan de Geer,10 August 1939,Centre,/wiki/Second_De_Geer_cabinet
Gerbrandy I,Pieter Sjoerds Gerbrandy,3 September 1940,Centrist,/wiki/First_Gerbrandy_cabinet
Gerbrandy II,Pieter Sjoerds Gerbrandy,27 July 1941,Centrist,/wiki/Second_Gerbrandy_cabinet
Gerbrandy III,Pieter Sjoerds Gerbrandy,23 February 1945,Centrist,/wiki/Third_Gerbrandy_cabinet
Schermerhorn–Drees,Willem Schermerhorn,25 June 1945,Centrist,/wiki/Schermerhorn%E2%80%93Drees_cabinet
Beel I,Louis Beel,3 July 1946,Centrist,/wiki/First_Beel_cabinet
Drees–Van Schaik,Willem Drees,7 August 1948,Centrist,/wiki/Drees%E2%80%93Van_Schaik_cabinet
Drees I,Willem Drees,15 March 1951,Centrist,/wiki/First_Drees_cabinet
Drees II,Willem Drees,2 September 1952,Centrist,/wiki/Second_Drees_cabinet
Drees III,Willem Drees,13 October 1956,Centrist,/wiki/Third_Drees_cabinet
Beel II,Louis Beel,22 December 1958,Centre-right,/wiki/Second_Beel_cabinet
De Quay,Jan de Quay,19 May 1959,Centre-right,/wiki/De_Quay_cabinet
Marijnen,Victor Marijnen,24 July 1963,Centre-right,/wiki/Marijnen_cabinet
Cals,Jo Cals,14 April 1965,Centrist,/wiki/Cals_cabinet
Zijlstra,Jelle Zijlstra,22 November 1966,Centre-right,/wiki/Zijlstra_cabinet
De Jong,Piet de Jong,5 April 1967,Centre-right,/wiki/De_Jong_cabinet
Biesheuvel I,Barend Biesheuvel,6 July 1971,Centrist,/wiki/First_Biesheuvel_cabinet
Biesheuvel II,Barend Biesheuvel,9 August 1972,Centre-right,/wiki/Second_Biesheuvel_cabinet
Den Uyl,Joop den Uyl,11 May 1973,Centre-left,/wiki/Den_Uyl_cabinet
Van Agt I,Dries van Agt,19 December 1977,Centre-right,/wiki/First_Van_Agt_cabinet
Van Agt II,Dries van Agt,11 September 1981,Centrist,/wiki/Second_Van_Agt_cabinet
Van Agt III,Dries van Agt,29 May 1982,Centrist,/wiki/Third_Van_Agt_cabinet
Lubbers I,Ruud Lubbers,4 November 1982,Centre-right,/wiki/First_Lubbers_cabinet
Lubbers II,Ruud Lubbers,14 July 1986,Centre-right,/wiki/Second_Lubbers_cabinet
Lubbers III,Ruud Lubbers,7 November 1989,Centrist,/wiki/Third_Lubbers_cabinet
Kok I,Wim Kok,22 August 1994,Centrist,/wiki/First_Kok_cabinet
Kok II,Wim Kok,3 August 1998,Centrist,/wiki/Second_Kok_cabinet
Balkenende I,Jan Peter Balkenende,22 June 2002,Right-wing,/wiki/First_Balkenende_cabinet
Balkenende II,Jan Peter Balkenende,27 May 2003,Centre-right,/wiki/Second_Balkenende_cabinet
Balkenende III,Jan Peter Balkenende,7 July 2006,Centre-right,/wiki/Third_Balkenende_cabinet
Balkenende IV,Jan Peter Balkenende,22 February 2007,Centrist,/wiki/Fourth_Balkenende_cabinet
Rutte I,Mark Rutte,14 October 2010,Right-wing,/wiki/First_Rutte_cabinet
Rutte II,Mark Rutte,5 November 2012,Centrist,/wiki/Second_Rutte_cabinet
Rutte III,Mark Rutte,26 October 2017,Centre-right,/wiki/Third_Rutte_cabinet
Rutte IV,Mark Rutte,10 januari 2022,Centre-right,/wiki/Fourth_Rutte_cabinet
