Cabinet,Count,Count Women,% Women,Year
Kappeyne van de Coppello,10,0,0.0,1877
Van Lynden van Sandenburg,11,0,0.0,1879
J. Heemskerk,15,0,0.0,1883
Mackay,10,0,0.0,1888
Van Tienhoven,8,0,0.0,1891
Röell,8,0,0.0,1894
Pierson,10,0,0.0,1897
Kuyper,11,0,0.0,1901
De Meester,12,0,0.0,1905
T. Heemskerk,14,0,0.0,1908
Cort van der Linden,12,0,0.0,1913
Ruijs de Beerenbrouck I,16,0,0.0,1918
Ruijs de Beerenbrouck II,11,0,0.0,1922
Colijn I,9,0,0.0,1925
De Geer I,11,0,0.0,1926
Ruijs de Beerenbrouck III,9,0,0.0,1929
Colijn II,13,0,0.0,1933
Colijn III,10,0,0.0,1935
Colijn IV,11,0,0.0,1937
Colijn V,10,0,0.0,1939
De Geer II,11,0,0.0,1939
Gerbrandy I,10,0,0.0,1940
Gerbrandy II,19,0,0.0,1941
Gerbrandy III,12,0,0.0,1945
Schermerhorn–Drees,15,0,0.0,1945
Beel I,19,0,0.0,1946
Drees–Van Schaik,25,0,0.0,1948
Drees I,24,0,0.0,1951
Drees II,24,1,4.2,1952
Drees III,25,2,8.0,1956
Beel II,14,1,7.1,1958
De Quay,27,1,3.6999999999999997,1959
Marijnen,25,1,4.0,1963
Cals,29,0,0.0,1965
Zijlstra,21,1,4.8,1966
De Jong,27,1,3.6999999999999997,1967
Biesheuvel I,29,1,3.4000000000000004,1971
Biesheuvel II,25,0,0.0,1972
Den Uyl,37,1,2.7,1973
Van Agt I,37,5,13.5,1977
Van Agt II,32,6,18.8,1981
Van Agt III,22,1,4.5,1982
Lubbers I,32,5,15.6,1982
Lubbers II,28,5,17.9,1986
Lubbers III,31,6,19.400000000000002,1989
Kok I,27,9,33.300000000000004,1994
Kok II,32,10,31.2,1998
Balkenende I,29,6,20.7,2002
Balkenende II,30,10,33.300000000000004,2003
Balkenende III,24,7,29.2,2006
Balkenende IV,30,12,40.0,2007
Rutte I,21,5,23.799999999999997,2010
Rutte II,26,8,30.8,2012
Rutte III,36,13,36.1,2017
Rutte IV,29,14,48.3,2022
